patent_id,patent_type,patent_date,patent_title,year,quarter,month,day_of_week,day_of_year,quarter_end,title_len_chars,title_len_words,title_has_number,title_has_acronym,kw_5g,kw_ai_ml,kw_cloud_edge,kw_security,kw_iot,kw_network,kw_energy,kw_antenna,kw_data,keyword_score,is_utility,is_design,is_other_type,tech_era
3934093,utility,20/01/1976,Transit exchange for asynchronous data with unknown structure,1976,1,1,1,20,31/03/1976,61,8,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990
3936612,utility,03/02/1976,Control and holding circuit for relay matrices,1976,1,2,1,34,31/03/1976,46,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3936781,utility,03/02/1976,Selecting device for crossbar switches,1976,1,2,1,34,31/03/1976,38,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3938025,utility,10/02/1976,DC to DC converter for producing two individually controlled and stabilized DC-voltages,1976,1,2,1,41,31/03/1976,87,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3938040,utility,10/02/1976,Apparatus for measuring a signal voltage including a current source with a control input on which said signal appears,1976,1,2,1,41,31/03/1976,117,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3940562,utility,24/02/1976,Transit exchange for time division multiplex asynchronous data,1976,1,2,1,55,31/03/1976,62,8,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990
3940566,utility,24/02/1976,Arrangement for preventing interruptions in a time division multiplex transmission link for transfer of data,1976,1,2,1,55,31/03/1976,108,15,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990
3942152,utility,02/03/1976,Verification arrangement,1976,1,3,1,62,31/03/1976,24,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3943444,utility,09/03/1976,Procedure to watch several radio channels at radio communication,1976,1,3,1,69,31/03/1976,64,9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3944858,utility,16/03/1976,Arrangement for generating pulse sequences,1976,1,3,1,76,31/03/1976,42,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3949178,utility,06/04/1976,Electret device having charge maintained by radioactivity,1976,2,4,1,97,30/06/1976,57,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3962636,utility,08/06/1976,Device for converting an incoming analog signal into an outgoing PCM signal,1976,2,6,1,160,30/06/1976,75,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3963871,utility,15/06/1976,Analysis device for establishing the binary value of asynchronous data signals,1976,2,6,1,167,30/06/1976,78,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,legacy_pre_1990
3965457,utility,22/06/1976,Digital control processor,1976,2,6,1,174,30/06/1976,25,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3967248,utility,29/06/1976,Arrangement for double-writing into a memory during data field relocation,1976,2,6,1,181,30/06/1976,73,10,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,legacy_pre_1990
3969701,utility,13/07/1976,Function block oriented SPC system,1976,3,7,1,195,30/09/1976,34,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3973192,utility,03/08/1976,Device for providing an early detection of aerosol products of combustion of a polyvinyl chloride substance,1976,3,8,1,216,30/09/1976,107,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3973200,utility,03/08/1976,Process for acknowledging calls in a system for wireless staff locators,1976,3,8,1,216,30/09/1976,71,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3974340,utility,10/08/1976,Data switching apparatus and method,1976,3,8,1,223,30/09/1976,35,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,legacy_pre_1990
3974344,utility,10/08/1976,Electronic speech circuit for a central battery telephone set,1976,3,8,1,223,30/09/1976,61,9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,legacy_pre_1990
3974447,utility,10/08/1976,Pilot receiver,1976,3,8,1,223,30/09/1976,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3976831,utility,24/08/1976,Method for transmitting pictures at a picture telephone transmission having limited bandwidth,1976,3,8,1,237,30/09/1976,93,12,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3976972,utility,24/08/1976,Prevention of non-allowed character combinations,1976,3,8,1,237,30/09/1976,48,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3980837,utility,14/09/1976,Apparatus for pulsing in telephone sets,1976,3,9,1,258,30/09/1976,39,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3982211,utility,21/09/1976,Linearized varactor frequency modulated semi-conductor diode oscillator,1976,3,9,1,265,30/09/1976,71,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3982243,utility,21/09/1976,Device for transmission of information from an information emitter to an information seeker,1976,3,9,1,265,30/09/1976,91,13,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3986120,utility,12/10/1976,Telephone system comprising a satellite,1976,4,10,1,286,31/12/1976,39,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3993110,utility,23/11/1976,Method of diffusing gas into a sealed vessel and a device for carrying out the method,1976,4,11,1,328,31/12/1976,85,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3993531,utility,23/11/1976,Device for wrapping insulation tape about an elongate conductor,1976,4,11,1,328,31/12/1976,63,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3993871,utility,23/11/1976,Relay matrix for selector networks,1976,4,11,1,328,31/12/1976,34,5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,legacy_pre_1990
3993883,utility,23/11/1976,Contact spring set,1976,4,11,1,328,31/12/1976,18,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3995217,utility,30/11/1976,Method and apparatus for suppressing background noise in a digital telephone system,1976,4,11,1,335,31/12/1976,83,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3996567,utility,07/12/1976,Apparatus for indicating abnormal program execution in a process controlling computer operating in real time on different priority levels,1976,4,12,1,342,31/12/1976,137,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3997727,utility,14/12/1976,Time division multiplexed digital switching apparatus,1976,4,12,1,349,31/12/1976,53,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3997821,utility,14/12/1976,Solid electrolytic capacitor with planar cathode lead,1976,4,12,1,349,31/12/1976,53,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
3999086,utility,21/12/1976,"Drive circuit for a controllable electronic switching element, for example, a power transistor",1976,4,12,1,356,31/12/1976,94,13,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,legacy_pre_1990
4001680,utility,04/01/1977,Device for measuring small frequency differencies,1977,1,1,1,4,31/03/1977,49,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4002851,utility,11/01/1977,Telecommunication system controlled by stored program instructions,1977,1,1,1,11,31/03/1977,66,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4003055,utility,11/01/1977,Radar function testing apparatus,1977,1,1,1,11,31/03/1977,32,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
D243091,design,18/01/1977,Telephone accessory,1977,1,1,1,18,31/03/1977,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,legacy_pre_1990
4005431,utility,25/01/1977,Slot antenna with waveguide coupling,1977,1,1,1,25,31/03/1977,36,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,legacy_pre_1990
4010421,utility,01/03/1977,Synchronization method for the recovery of binary signals,1977,1,3,1,60,31/03/1977,57,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4012030,utility,15/03/1977,Fixture for precision positioning of work pieces,1977,1,3,1,74,31/03/1977,48,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4012698,utility,15/03/1977,Device for obtaining a jitterstable synchronization of a counter,1977,1,3,1,74,31/03/1977,64,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4013971,utility,22/03/1977,Integrated amplifier,1977,1,3,1,81,31/03/1977,20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4014243,utility,29/03/1977,Expanding bolt,1977,1,3,1,88,31/03/1977,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
4017783,utility,12/04/1977,Power transistor drive apparatus in a DC-converter,1977,2,4,1,102,30/06/1977,50,7,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,legacy_pre_1990
4018993,utility,19/04/1977,Telephone system comprising a satellite,1977,2,4,1,109,30/06/1977,39,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,legacy_pre_1990
